                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65163,                0.52402,                0.93629,                0.98133,                0.98485,                0.99019,                0.83993,                0.59814,                0.42717,                0.95329,              0.0013795,              0.0013795,              0.0013795
                     37,                0.66455,                0.53154,                0.95309,                0.95275,                0.96738,                0.98466,                0.81298,                0.68804,                0.45894,                0.97591,              0.0013781,              0.0013781,              0.0013781
                     38,                0.65926,                0.52302,                0.94684,                0.97678,                0.98746,                0.98956,                0.80934,                0.68452,                0.40657,                0.98102,              0.0013767,              0.0013767,              0.0013767
                     39,                0.64658,                0.51276,                0.93658,                0.97966,                0.99347,                0.99491,                0.83424,                0.62647,                0.40171,                0.96599,              0.0013752,              0.0013752,              0.0013752
                     40,                0.64111,                0.50488,                0.93194,                0.97662,                0.99472,                0.98427,                0.82843,                0.61262,                 0.4061,                0.95437,              0.0013738,              0.0013738,              0.0013738
                     41,                 0.6372,                0.49068,                0.93114,                0.97897,                0.98913,                0.98858,                0.85471,                0.58296,                0.40645,                0.90531,              0.0013724,              0.0013724,              0.0013724
                     42,                0.64057,                0.50697,                0.94294,                0.98249,                0.98391,                0.98484,                0.81502,                0.65087,                0.41424,                0.97902,               0.001371,               0.001371,               0.001371
                     43,                0.63017,                0.50243,                0.93093,                0.96716,                0.99137,                0.99109,                 0.8655,                0.56301,                0.37293,                0.90059,              0.0013696,              0.0013696,              0.0013696
                     44,                0.63272,                0.48891,                0.93318,                0.97646,                0.98763,                0.99474,                0.80333,                0.68732,                0.45816,                0.96106,              0.0013682,              0.0013682,              0.0013682
                     45,                0.63572,                0.47927,                0.93821,                0.97435,                0.99537,                0.99495,                0.87269,                0.57194,                0.38684,                0.90623,              0.0013668,              0.0013668,              0.0013668
                     46,                0.62154,                0.48569,                0.93645,                0.97086,                0.98611,                0.99213,                0.85934,                0.58311,                0.40311,                0.92738,              0.0013653,              0.0013653,              0.0013653
                     47,                0.60996,                0.49008,                 0.9277,                0.96312,                0.98119,                0.99093,                0.87464,                0.52592,                 0.3928,                0.89128,              0.0013639,              0.0013639,              0.0013639
                     48,                0.64943,                0.49842,                0.94273,                0.98648,                0.98063,                0.99121,                0.85009,                0.59103,                0.39232,                0.88476,              0.0013625,              0.0013625,              0.0013625
                     49,                0.63166,                0.48043,                0.93347,                0.96827,                 0.9935,                0.99069,                0.86585,                0.59331,                0.37512,                0.92406,              0.0013611,              0.0013611,              0.0013611
                     50,                0.62203,                0.46623,                0.93009,                0.97087,                0.98103,                0.98368,                0.84101,                0.60759,                0.41257,                0.92774,              0.0013597,              0.0013597,              0.0013597
                     51,                0.61863,                0.46594,                0.92622,                0.97452,                0.98482,                0.98943,                0.87491,                0.53617,                0.35829,                0.86996,              0.0013583,              0.0013583,              0.0013583
                     52,                 0.6021,                0.46923,                0.92529,                0.96606,                0.99537,                0.99464,                0.89107,                0.50182,                0.35176,                0.87108,              0.0013568,              0.0013568,              0.0013568
                     53,                0.60892,                0.47683,                 0.9325,                0.96583,                0.99771,                0.99183,                0.86874,                 0.5428,                0.38047,                0.88536,              0.0013554,              0.0013554,              0.0013554
                     54,                0.59976,                 0.4662,                0.92496,                0.97908,                0.97956,                 0.9904,                0.85534,                0.59322,                0.38712,                0.91879,               0.001354,               0.001354,               0.001354
                     55,                0.60341,                0.46317,                0.92177,                0.97234,                0.98611,                0.99434,                0.86088,                 0.5619,                0.41106,                0.90803,              0.0013526,              0.0013526,              0.0013526
