                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62188,                 0.4921,                 0.9293,                0.99317,                0.97247,                0.99134,                0.87942,                0.57155,                0.38036,                0.92471,             0.00093385,             0.00093385,             0.00093385
                     37,                0.61468,                0.49028,                0.93286,                0.98426,                0.99074,                0.99405,                0.86937,                0.57779,                 0.3792,                0.90225,              0.0009197,              0.0009197,              0.0009197
                     38,                 0.6088,                 0.4794,                0.92776,                0.98322,                0.98734,                0.99329,                0.84042,                0.58218,                0.40905,                0.92011,             0.00090556,             0.00090556,             0.00090556
                     39,                0.61009,                0.48162,                0.92696,                0.98595,                0.97685,                0.99303,                 0.8241,                 0.6014,                 0.3988,                0.94046,             0.00089141,             0.00089141,             0.00089141
                     40,                0.60161,                0.47807,                0.92008,                0.96003,                0.99683,                0.99331,                0.86422,                 0.5462,                0.39067,                0.87945,             0.00087726,             0.00087726,             0.00087726
                     41,                0.58695,                0.46943,                0.91826,                0.95515,                0.98761,                0.98954,                0.87452,                0.55424,                0.38315,                 0.9074,             0.00086312,             0.00086312,             0.00086312
                     42,                0.59034,                0.47196,                0.92607,                0.97017,                 0.9938,                0.98906,                0.83762,                0.59784,                0.39859,                0.91288,             0.00084897,             0.00084897,             0.00084897
                     43,                0.58408,                0.46013,                0.91633,                0.97957,                0.97922,                0.98948,                0.85217,                0.56231,                0.41318,                0.87982,             0.00083482,             0.00083482,             0.00083482
                     44,                0.58519,                0.46356,                0.91373,                 0.9549,                0.99224,                0.99243,                0.86354,                0.53795,                0.38458,                0.90967,             0.00082067,             0.00082067,             0.00082067
                     45,                0.57949,                0.45029,                0.91848,                 0.9782,                0.99495,                0.99063,                0.86013,                0.53017,                0.37009,                0.91077,             0.00080653,             0.00080653,             0.00080653
                     46,                0.58303,                0.44735,                0.92065,                0.98074,                0.99241,                0.99115,                0.85896,                0.57926,                0.35315,                0.91863,             0.00079238,             0.00079238,             0.00079238
                     47,                0.56967,                0.44632,                0.90732,                0.96125,                0.99359,                0.99063,                0.84605,                0.60335,                0.37893,                0.95256,             0.00077823,             0.00077823,             0.00077823
                     48,                0.59045,                0.44424,                 0.9207,                0.96623,                0.99273,                0.99089,                0.87191,                0.53602,                0.36643,                 0.9031,             0.00076409,             0.00076409,             0.00076409
                     49,                0.56473,                0.44132,                0.90998,                0.96821,                0.98828,                 0.9913,                0.88056,                0.55635,                0.36391,                 0.8957,             0.00074994,             0.00074994,             0.00074994
                     50,                0.56681,                 0.4256,                0.91254,                0.97477,                0.99824,                0.99335,                0.87878,                0.54556,                0.36119,                0.88293,             0.00073579,             0.00073579,             0.00073579
                     51,                0.56226,                 0.4272,                0.90642,                0.96622,                0.97844,                0.99012,                0.88535,                0.53558,                0.35316,                 0.8759,             0.00072164,             0.00072164,             0.00072164
                     52,                0.54598,                0.42784,                0.90652,                0.96553,                0.99658,                 0.9944,                0.88676,                0.51677,                0.33565,                0.87899,              0.0007075,              0.0007075,              0.0007075
                     53,                0.56106,                0.43411,                0.91152,                0.96956,                0.99191,                 0.9908,                0.86623,                0.55458,                0.35388,                0.90028,             0.00069335,             0.00069335,             0.00069335
                     54,                0.55025,                0.42398,                0.91091,                0.96556,                0.99418,                0.99066,                0.87654,                 0.5314,                0.35112,                0.90841,              0.0006792,              0.0006792,              0.0006792
                     55,                0.55225,                0.42073,                 0.9101,                0.96918,                0.98987,                0.99084,                0.89586,                 0.5026,                0.35514,                0.87218,             0.00066506,             0.00066506,             0.00066506
                     56,                0.54952,                0.42207,                0.91167,                0.96663,                0.98673,                0.98438,                0.86216,                0.57616,                0.33741,                0.93064,             0.00065091,             0.00065091,             0.00065091
                     57,                0.53699,                0.41479,                0.89943,                0.96596,                0.99537,                0.99106,                0.88615,                0.49227,                0.33607,                0.85883,             0.00063676,             0.00063676,             0.00063676
                     58,                0.54379,                0.41765,                0.91166,                0.97611,                0.98414,                0.99192,                0.87132,                0.50415,                0.32992,                 0.8786,             0.00062262,             0.00062262,             0.00062262
                     59,                0.55141,                0.41301,                0.91676,                0.97396,                0.99074,                0.99404,                0.87271,                0.50249,                0.32223,                0.89627,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.5546,                  0.428,                0.91318,                0.97179,                0.99537,                0.99158,                0.85276,                0.56351,                0.33803,                 0.9022,             0.00059432,             0.00059432,             0.00059432
                     61,                0.55024,                0.41683,                0.91317,                 0.9652,                0.99127,                0.99056,                0.88122,                0.51415,                 0.3326,                0.88256,             0.00058017,             0.00058017,             0.00058017
                     62,                0.53682,                0.39958,                0.89439,                 0.9751,                0.99038,                0.99124,                0.87163,                0.53675,                0.31633,                  0.902,             0.00056603,             0.00056603,             0.00056603
                     63,                0.53526,                0.40436,                0.90301,                0.97387,                0.98257,                 0.9852,                0.87052,                0.54544,                0.33335,                0.91642,             0.00055188,             0.00055188,             0.00055188
                     64,                0.53934,                0.39487,                0.91287,                0.98045,                0.99074,                0.99143,                0.88438,                0.53705,                0.32991,                0.89643,             0.00053773,             0.00053773,             0.00053773
                     65,                0.52169,                0.38418,                0.90525,                0.96933,                0.98676,                0.98609,                0.88762,                0.51135,                0.33369,                0.88866,             0.00052359,             0.00052359,             0.00052359
                     66,                0.53374,                0.38872,                 0.9012,                0.96854,                0.99102,                0.99012,                0.87635,                0.51965,                0.32779,                0.89745,             0.00050944,             0.00050944,             0.00050944
                     67,                0.52165,                0.38959,                0.90097,                0.97191,                0.99525,                0.99185,                0.89168,                0.51919,                0.31178,                0.88853,             0.00049529,             0.00049529,             0.00049529
                     68,                0.51675,                0.38186,                0.89641,                 0.9802,                0.99354,                0.99089,                0.87624,                0.52834,                0.32525,                0.88256,             0.00048114,             0.00048114,             0.00048114
                     69,                0.51457,                0.38106,                0.90184,                0.96688,                0.99074,                0.99308,                0.88678,                0.49956,                0.32286,                0.87373,               0.000467,               0.000467,               0.000467
                     70,                0.51339,                0.37739,                0.89865,                0.96652,                0.98739,                0.99122,                0.88727,                 0.4915,                0.30979,                0.88056,             0.00045285,             0.00045285,             0.00045285
                     71,                  0.512,                0.37951,                0.90036,                0.96178,                0.99537,                0.99267,                0.89834,                0.46897,                0.30731,                0.83471,              0.0004387,              0.0004387,              0.0004387
                     72,                0.50769,                0.37895,                0.88532,                0.96936,                0.99537,                0.99071,                0.88846,                0.47734,                0.30558,                0.85894,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.5043,                0.37555,                0.88665,                0.97005,                0.99537,                0.99078,                0.88482,                0.49722,                0.32562,                0.86187,             0.00041041,             0.00041041,             0.00041041
                     74,                0.50586,                 0.3706,                0.89663,                0.96214,                 0.9953,                 0.9901,                0.87396,                0.49652,                0.31778,                0.86217,             0.00039626,             0.00039626,             0.00039626
                     75,                0.49972,                0.36745,                0.89192,                0.96244,                0.99537,                0.99389,                0.88152,                0.50278,                0.30205,                0.86621,             0.00038211,             0.00038211,             0.00038211
                     76,                0.49257,                 0.3621,                0.89813,                0.96771,                0.99613,                0.99335,                 0.8924,                0.49666,                0.29705,                 0.8797,             0.00036797,             0.00036797,             0.00036797
                     77,                0.48595,                0.36214,                0.89102,                0.96155,                0.98878,                0.99203,                0.89469,                0.49514,                0.30178,                0.85925,             0.00035382,             0.00035382,             0.00035382
                     78,                0.48906,                0.36377,                0.88586,                0.97036,                0.99537,                0.99122,                 0.8971,                0.46698,                0.29428,                0.85249,             0.00033967,             0.00033967,             0.00033967
                     79,                0.48113,                0.35893,                0.89191,                 0.9723,                0.98828,                0.98615,                0.89967,                0.46159,                0.27057,                0.87316,             0.00032553,             0.00032553,             0.00032553
                     80,                0.48205,                0.34977,                0.88391,                0.97419,                0.98728,                0.98669,                0.89302,                0.48866,                0.31541,                0.87612,             0.00031138,             0.00031138,             0.00031138
                     81,                0.47738,                0.34306,                 0.8815,                0.97309,                0.99413,                0.99091,                0.88765,                 0.4969,                0.28185,                0.87823,             0.00029723,             0.00029723,             0.00029723
                     82,                0.48558,                0.35053,                 0.8864,                0.98013,                0.99525,                0.99128,                0.89378,                 0.4849,                0.30219,                0.88079,             0.00028308,             0.00028308,             0.00028308
                     83,                0.48963,                0.35833,                0.88986,                0.96091,                0.98828,                0.98686,                0.90083,                0.48758,                0.29543,                0.86999,             0.00026894,             0.00026894,             0.00026894
                     84,                0.45989,                0.33389,                0.87943,                0.96226,                0.98828,                0.98556,                0.88811,                0.49503,                0.27123,                0.88137,             0.00025479,             0.00025479,             0.00025479
                     85,                0.48152,                0.35216,                0.88316,                0.96608,                0.98823,                0.98843,                0.88441,                0.48792,                0.26961,                0.87337,             0.00024064,             0.00024064,             0.00024064
                     86,                0.48752,                0.35013,                0.89213,                0.96819,                0.98828,                 0.9901,                0.89397,                0.47181,                0.27351,                0.85189,              0.0002265,              0.0002265,              0.0002265
                     87,                0.47212,                0.34014,                0.87756,                0.96834,                0.98822,                0.98785,                0.88261,                0.50542,                0.27427,                0.88764,             0.00021235,             0.00021235,             0.00021235
                     88,                0.47011,                0.34427,                0.88082,                0.96837,                0.98818,                0.98793,                0.89032,                0.50546,                0.27085,                0.89777,              0.0001982,              0.0001982,              0.0001982
                     89,                0.47223,                0.34167,                0.87975,                0.96877,                0.98828,                0.98661,                 0.8911,                0.48375,                0.27513,                0.86965,             0.00018406,             0.00018406,             0.00018406
                     90,                0.46189,                0.33468,                0.87325,                0.96241,                0.98828,                0.98892,                0.89623,                0.45976,                0.28017,                0.85523,             0.00016991,             0.00016991,             0.00016991
                     91,                0.46773,                0.34327,                0.87602,                0.96879,                0.99537,                0.99293,                0.89231,                0.46147,                0.30192,                0.84669,             0.00015576,             0.00015576,             0.00015576
                     92,                0.43869,                0.31548,                 0.8657,                0.96928,                0.99537,                0.99358,                0.89589,                0.47673,                  0.304,                0.86151,             0.00014161,             0.00014161,             0.00014161
                     93,                0.45119,                0.31085,                0.87166,                0.96995,                0.99537,                0.99086,                0.89661,                0.47652,                0.29798,                 0.8742,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.4183,                0.30354,                0.86089,                0.96868,                0.99537,                0.99089,                0.89695,                0.48719,                0.29732,                0.87673,             0.00011332,             0.00011332,             0.00011332
                     95,                 0.4272,                0.30051,                0.85406,                0.96961,                0.99537,                0.99082,                0.90055,                0.46764,                0.28966,                0.85743,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.42368,                0.29715,                0.86104,                0.96895,                0.98828,                0.98989,                0.90141,                 0.4748,                0.30455,                0.87249,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.42223,                0.30056,                0.87112,                0.96918,                0.98828,                0.98957,                0.90136,                 0.4762,                0.29767,                0.87786,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.40861,                0.28732,                0.85173,                0.96926,                0.98828,                0.98847,                0.90534,                0.47799,                0.27881,                0.87801,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.41264,                0.29143,                 0.8591,                0.97008,                0.98828,                0.98732,                0.90335,                0.46382,                0.27295,                0.86792,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.41054,                0.28634,                0.85544,                0.97016,                0.98828,                 0.9877,                0.90311,                0.46782,                0.27208,                0.87049,             2.8437e-05,             2.8437e-05,             2.8437e-05
